Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,
Data,3,record,timestamp,"1096764943",s,position_lat,"614532480",semicircles,position_long,"-954018",semicircles,distance,"0.56",m,heart_rate,"0",bpm,altitude,"20.200000000000045",m,speed,"0.906",m/s,power,"47",watts,cadence,"14",rpm,enhanced_altitude,"20.200000000000045",m,enhanced_speed,"0.906",m/s,
Data,3,record,timestamp,"1096764944",s,position_lat,"614532416",semicircles,position_long,"-954138",semicircles,distance,"1.33",m,heart_rate,"0",bpm,altitude,"20.200000000000045",m,speed,"1.229",m/s,power,"47",watts,cadence,"19",rpm,enhanced_altitude,"20.200000000000045",m,enhanced_speed,"1.229",m/s,
Data,3,record,timestamp,"1096764945",s,position_lat,"614532288",semicircles,position_long,"-954356",semicircles,distance,"2.78",m,heart_rate,"0",bpm,altitude,"20.200000000000045",m,speed,"1.637",m/s,power,"59",watts,cadence,"1",rpm,enhanced_altitude,"20.200000000000045",m,enhanced_speed,"1.637",m/s,
Data,3,record,timestamp,"1096764946",s,position_lat,"614532224",semicircles,position_long,"-954629",semicircles,distance,"4.56",m,heart_rate,"0",bpm,altitude,"20.200000000000045",m,speed,"1.902",m/s,power,"48",watts,cadence,"1",rpm,enhanced_altitude,"20.200000000000045",m,enhanced_speed,"1.902",m/s,
Data,3,record,timestamp,"1096764947",s,position_lat,"614532160",semicircles,position_long,"-954953",semicircles,distance,"6.69",m,heart_rate,"0",bpm,altitude,"20.200000000000045",m,speed,"2.335",m/s,power,"92",watts,cadence,"31",rpm,enhanced_altitude,"20.200000000000045",m,enhanced_speed,"2.335",m/s,
Data,3,record,timestamp,"1096764948",s,position_lat,"614531968",semicircles,position_long,"-955342",semicircles,distance,"9.27",m,heart_rate,"0",bpm,altitude,"20.200000000000045",m,speed,"2.825",m/s,power,"127",watts,cadence,"41",rpm,enhanced_altitude,"20.200000000000045",m,enhanced_speed,"2.825",m/s,
Data,3,record,timestamp,"1096764949",s,position_lat,"614531840",semicircles,position_long,"-955787",semicircles,distance,"12.29",m,heart_rate,"0",bpm,altitude,"20.200000000000045",m,speed,"3.178",m/s,power,"102",watts,cadence,"47",rpm,enhanced_altitude,"20.200000000000045",m,enhanced_speed,"3.178",m/s,
Data,3,record,timestamp,"1096764950",s,position_lat,"614531648",semicircles,position_long,"-956273",semicircles,distance,"15.66",m,heart_rate,"0",bpm,altitude,"20.200000000000045",m,speed,"3.56",m/s,power,"133",watts,cadence,"47",rpm,enhanced_altitude,"20.200000000000045",m,enhanced_speed,"3.56",m/s,
Data,3,record,timestamp,"1096764951",s,position_lat,"614531392",semicircles,position_long,"-956801",semicircles,distance,"19.38",m,heart_rate,"0",bpm,altitude,"20.200000000000045",m,speed,"3.838",m/s,power,"104",watts,cadence,"51",rpm,enhanced_altitude,"20.200000000000045",m,enhanced_speed,"3.838",m/s,
Data,3,record,timestamp,"1096764952",s,position_lat,"614531200",semicircles,position_long,"-957350",semicircles,distance,"23.31",m,heart_rate,"0",bpm,altitude,"20.200000000000045",m,speed,"4.019",m/s,power,"84",watts,cadence,"64",rpm,enhanced_altitude,"20.200000000000045",m,enhanced_speed,"4.019",m/s,
Data,3,record,timestamp,"1096764953",s,position_lat,"614530880",semicircles,position_long,"-957921",semicircles,distance,"27.42",m,heart_rate,"0",bpm,altitude,"20.200000000000045",m,speed,"4.203",m/s,power,"89",watts,cadence,"65",rpm,enhanced_altitude,"20.200000000000045",m,enhanced_speed,"4.203",m/s,
Data,3,record,timestamp,"1096764954",s,position_lat,"614530624",semicircles,position_long,"-958517",semicircles,distance,"31.72",m,heart_rate,"65",bpm,altitude,"20.200000000000045",m,speed,"4.38",m/s,power,"85",watts,cadence,"65",rpm,enhanced_altitude,"20.200000000000045",m,enhanced_speed,"4.38",m/s,
Data,3,record,timestamp,"1096764955",s,position_lat,"614530368",semicircles,position_long,"-959139",semicircles,distance,"36.2",m,heart_rate,"65",bpm,altitude,"20.200000000000045",m,speed,"4.596",m/s,power,"101",watts,cadence,"67",rpm,enhanced_altitude,"20.200000000000045",m,enhanced_speed,"4.596",m/s,
Data,3,record,timestamp,"1096764956",s,position_lat,"614530048",semicircles,position_long,"-959789",semicircles,distance,"40.89",m,heart_rate,"66",bpm,altitude,"20.200000000000045",m,speed,"4.779",m/s,power,"82",watts,cadence,"68",rpm,enhanced_altitude,"20.200000000000045",m,enhanced_speed,"4.779",m/s,
Data,3,record,timestamp,"1096764957",s,position_lat,"614529792",semicircles,position_long,"-960468",semicircles,distance,"45.76",m,heart_rate,"68",bpm,altitude,"20.200000000000045",m,speed,"4.956",m/s,power,"72",watts,cadence,"69",rpm,enhanced_altitude,"20.200000000000045",m,enhanced_speed,"4.956",m/s,
Data,3,record,timestamp,"1096764958",s,position_lat,"614529472",semicircles,position_long,"-961185",semicircles,distance,"50.81",m,heart_rate,"69",bpm,altitude,"20.0",m,speed,"5.153",m/s,power,"75",watts,cadence,"69",rpm,enhanced_altitude,"20.0",m,enhanced_speed,"5.153",m/s,
Data,3,record,timestamp,"1096764959",s,position_lat,"614529152",semicircles,position_long,"-961955",semicircles,distance,"56.08",m,heart_rate,"70",bpm,altitude,"20.0",m,speed,"5.372",m/s,power,"71",watts,cadence,"71",rpm,enhanced_altitude,"20.0",m,enhanced_speed,"5.372",m/s,
Data,3,record,timestamp,"1096764960",s,position_lat,"614528832",semicircles,position_long,"-962785",semicircles,distance,"61.58",m,heart_rate,"70",bpm,altitude,"19.799999999999955",m,speed,"5.649",m/s,power,"80",watts,cadence,"71",rpm,enhanced_altitude,"19.799999999999955",m,enhanced_speed,"5.649",m/s,
Data,3,record,timestamp,"1096764961",s,position_lat,"614528576",semicircles,position_long,"-963690",semicircles,distance,"67.44",m,heart_rate,"70",bpm,altitude,"19.799999999999955",m,speed,"6.092",m/s,power,"140",watts,cadence,"73",rpm,enhanced_altitude,"19.799999999999955",m,enhanced_speed,"6.092",m/s,
Data,3,record,timestamp,"1096764962",s,position_lat,"614528320",semicircles,position_long,"-964684",semicircles,distance,"73.79",m,heart_rate,"70",bpm,altitude,"19.399999999999977",m,speed,"6.601",m/s,power,"118",watts,cadence,"76",rpm,enhanced_altitude,"19.399999999999977",m,enhanced_speed,"6.601",m/s,
Data,3,record,timestamp,"1096764963",s,position_lat,"614528064",semicircles,position_long,"-965769",semicircles,distance,"80.63",m,heart_rate,"70",bpm,altitude,"19.200000000000045",m,speed,"7.08",m/s,power,"84",watts,cadence,"76",rpm,enhanced_altitude,"19.200000000000045",m,enhanced_speed,"7.08",m/s,
Data,3,record,timestamp,"1096764964",s,position_lat,"614527744",semicircles,position_long,"-966944",semicircles,distance,"87.96",m,heart_rate,"70",bpm,altitude,"18.799999999999955",m,speed,"7.567",m/s,power,"76",watts,cadence,"78",rpm,enhanced_altitude,"18.799999999999955",m,enhanced_speed,"7.567",m/s,
Data,3,record,timestamp,"1096764965",s,position_lat,"614527488",semicircles,position_long,"-968208",semicircles,distance,"95.76",m,heart_rate,"78",bpm,altitude,"18.399999999999977",m,speed,"8.026",m/s,power,"60",watts,cadence,"79",rpm,enhanced_altitude,"18.399999999999977",m,enhanced_speed,"8.026",m/s,
Data,3,record,timestamp,"1096764966",s,position_lat,"614527232",semicircles,position_long,"-969558",semicircles,distance,"104.01",m,heart_rate,"79",bpm,altitude,"17.799999999999955",m,speed,"8.448",m/s,power,"61",watts,cadence,"80",rpm,enhanced_altitude,"17.799999999999955",m,enhanced_speed,"8.448",m/s,
Data,3,record,timestamp,"1096764967",s,position_lat,"614526976",semicircles,position_long,"-970991",semicircles,distance,"112.66",m,heart_rate,"81",bpm,altitude,"17.600000000000023",m,speed,"8.858",m/s,power,"118",watts,cadence,"82",rpm,enhanced_altitude,"17.600000000000023",m,enhanced_speed,"8.858",m/s,
Data,3,record,timestamp,"1096764968",s,position_lat,"614526720",semicircles,position_long,"-972499",semicircles,distance,"121.67",m,heart_rate,"81",bpm,altitude,"17.200000000000045",m,speed,"9.116",m/s,power,"95",watts,cadence,"78",rpm,enhanced_altitude,"17.200000000000045",m,enhanced_speed,"9.116",m/s,
Data,3,record,timestamp,"1096764969",s,position_lat,"614526528",semicircles,position_long,"-974049",semicircles,distance,"130.83",m,heart_rate,"83",bpm,altitude,"17.200000000000045",m,speed,"9.172",m/s,power,"91",watts,cadence,"76",rpm,enhanced_altitude,"17.200000000000045",m,enhanced_speed,"9.172",m/s,
Data,3,record,timestamp,"1096764970",s,position_lat,"614526464",semicircles,position_long,"-975603",semicircles,distance,"139.96",m,heart_rate,"84",bpm,altitude,"17.200000000000045",m,speed,"9.06",m/s,power,"89",watts,cadence,"76",rpm,enhanced_altitude,"17.200000000000045",m,enhanced_speed,"9.06",m/s,
Data,3,record,timestamp,"1096764971",s,position_lat,"614526336",semicircles,position_long,"-977139",semicircles,distance,"148.91",m,heart_rate,"75",bpm,altitude,"17.399999999999977",m,speed,"8.84",m/s,power,"107",watts,cadence,"76",rpm,enhanced_altitude,"17.399999999999977",m,enhanced_speed,"8.84",m/s,
Data,3,record,timestamp,"1096764972",s,position_lat,"614526336",semicircles,position_long,"-978638",semicircles,distance,"157.63",m,heart_rate,"76",bpm,altitude,"17.600000000000023",m,speed,"8.586",m/s,power,"124",watts,cadence,"76",rpm,enhanced_altitude,"17.600000000000023",m,enhanced_speed,"8.586",m/s,
Data,3,record,timestamp,"1096764973",s,position_lat,"614526400",semicircles,position_long,"-980089",semicircles,distance,"166.07",m,heart_rate,"78",bpm,altitude,"17.799999999999955",m,speed,"8.295",m/s,power,"107",watts,cadence,"75",rpm,enhanced_altitude,"17.799999999999955",m,enhanced_speed,"8.295",m/s,
Data,3,record,timestamp,"1096764974",s,position_lat,"614526464",semicircles,position_long,"-981490",semicircles,distance,"174.23",m,heart_rate,"80",bpm,altitude,"18.0",m,speed,"8.046",m/s,power,"111",watts,cadence,"74",rpm,enhanced_altitude,"18.0",m,enhanced_speed,"8.046",m/s,
Data,3,record,timestamp,"1096764975",s,position_lat,"614526528",semicircles,position_long,"-982853",semicircles,distance,"182.19",m,heart_rate,"81",bpm,altitude,"18.200000000000045",m,speed,"7.885",m/s,power,"130",watts,cadence,"72",rpm,enhanced_altitude,"18.200000000000045",m,enhanced_speed,"7.885",m/s,
Data,3,record,timestamp,"1096764976",s,position_lat,"614526656",semicircles,position_long,"-984185",semicircles,distance,"190.0",m,heart_rate,"83",bpm,altitude,"18.200000000000045",m,speed,"7.713",m/s,power,"85",watts,cadence,"72",rpm,enhanced_altitude,"18.200000000000045",m,enhanced_speed,"7.713",m/s,
Data,3,record,timestamp,"1096764977",s,position_lat,"614526784",semicircles,position_long,"-985476",semicircles,distance,"197.63",m,heart_rate,"83",bpm,altitude,"18.399999999999977",m,speed,"7.57",m/s,power,"109",watts,cadence,"75",rpm,enhanced_altitude,"18.399999999999977",m,enhanced_speed,"7.57",m/s,
Data,3,record,timestamp,"1096764978",s,position_lat,"614526976",semicircles,position_long,"-986737",semicircles,distance,"205.14",m,heart_rate,"84",bpm,altitude,"18.600000000000023",m,speed,"7.421",m/s,power,"110",watts,cadence,"80",rpm,enhanced_altitude,"18.600000000000023",m,enhanced_speed,"7.421",m/s,
Data,3,record,timestamp,"1096764979",s,position_lat,"614527168",semicircles,position_long,"-987966",semicircles,distance,"212.47",m,heart_rate,"85",bpm,altitude,"18.600000000000023",m,speed,"7.253",m/s,power,"107",watts,cadence,"80",rpm,enhanced_altitude,"18.600000000000023",m,enhanced_speed,"7.253",m/s,
Data,3,record,timestamp,"1096764980",s,position_lat,"614527360",semicircles,position_long,"-989166",semicircles,distance,"219.62",m,heart_rate,"85",bpm,altitude,"18.799999999999955",m,speed,"7.062",m/s,power,"96",watts,cadence,"78",rpm,enhanced_altitude,"18.799999999999955",m,enhanced_speed,"7.062",m/s,
Data,3,record,timestamp,"1096764981",s,position_lat,"614527488",semicircles,position_long,"-990336",semicircles,distance,"226.6",m,heart_rate,"86",bpm,altitude,"19.0",m,speed,"6.897",m/s,power,"115",watts,cadence,"77",rpm,enhanced_altitude,"19.0",m,enhanced_speed,"6.897",m/s,
Data,3,record,timestamp,"1096764982",s,position_lat,"614527680",semicircles,position_long,"-991483",semicircles,distance,"233.43",m,heart_rate,"86",bpm,altitude,"19.200000000000045",m,speed,"6.764",m/s,power,"133",watts,cadence,"78",rpm,enhanced_altitude,"19.200000000000045",m,enhanced_speed,"6.764",m/s,
Data,3,record,timestamp,"1096764983",s,position_lat,"614527808",semicircles,position_long,"-992607",semicircles,distance,"240.13",m,heart_rate,"87",bpm,altitude,"19.399999999999977",m,speed,"6.654",m/s,power,"137",watts,cadence,"78",rpm,enhanced_altitude,"19.399999999999977",m,enhanced_speed,"6.654",m/s,
Data,3,record,timestamp,"1096764984",s,position_lat,"614528000",semicircles,position_long,"-993716",semicircles,distance,"246.73",m,heart_rate,"87",bpm,altitude,"19.600000000000023",m,speed,"6.535",m/s,power,"132",watts,cadence,"77",rpm,enhanced_altitude,"19.600000000000023",m,enhanced_speed,"6.535",m/s,
Data,3,record,timestamp,"1096764985",s,position_lat,"614528128",semicircles,position_long,"-994805",semicircles,distance,"253.21",m,heart_rate,"88",bpm,altitude,"19.600000000000023",m,speed,"6.42",m/s,power,"135",watts,cadence,"78",rpm,enhanced_altitude,"19.600000000000023",m,enhanced_speed,"6.42",m/s,
Data,3,record,timestamp,"1096764986",s,position_lat,"614528256",semicircles,position_long,"-995875",semicircles,distance,"259.56",m,heart_rate,"88",bpm,altitude,"19.799999999999955",m,speed,"6.282",m/s,power,"118",watts,cadence,"77",rpm,enhanced_altitude,"19.799999999999955",m,enhanced_speed,"6.282",m/s,
Data,3,record,timestamp,"1096764987",s,position_lat,"614528384",semicircles,position_long,"-996919",semicircles,distance,"265.77",m,heart_rate,"89",bpm,altitude,"20.0",m,speed,"6.137",m/s,power,"111",watts,cadence,"77",rpm,enhanced_altitude,"20.0",m,enhanced_speed,"6.137",m/s,
Data,3,record,timestamp,"1096764988",s,position_lat,"614528512",semicircles,position_long,"-997941",semicircles,distance,"271.84",m,heart_rate,"89",bpm,altitude,"20.200000000000045",m,speed,"6.021",m/s,power,"126",watts,cadence,"76",rpm,enhanced_altitude,"20.200000000000045",m,enhanced_speed,"6.021",m/s,
Data,3,record,timestamp,"1096764989",s,position_lat,"614528640",semicircles,position_long,"-998944",semicircles,distance,"277.8",m,heart_rate,"90",bpm,altitude,"20.399999999999977",m,speed,"5.894",m/s,power,"112",watts,cadence,"75",rpm,enhanced_altitude,"20.399999999999977",m,enhanced_speed,"5.894",m/s,
Data,3,record,timestamp,"1096764990",s,position_lat,"614528768",semicircles,position_long,"-999925",semicircles,distance,"283.64",m,heart_rate,"90",bpm,altitude,"20.399999999999977",m,speed,"5.776",m/s,power,"117",watts,cadence,"75",rpm,enhanced_altitude,"20.399999999999977",m,enhanced_speed,"5.776",m/s,
Data,3,record,timestamp,"1096764991",s,position_lat,"614528832",semicircles,position_long,"-1000892",semicircles,distance,"289.36",m,heart_rate,"91",bpm,altitude,"20.600000000000023",m,speed,"5.687",m/s,power,"128",watts,cadence,"75",rpm,enhanced_altitude,"20.600000000000023",m,enhanced_speed,"5.687",m/s,
Data,3,record,timestamp,"1096764992",s,position_lat,"614529024",semicircles,position_long,"-1001851",semicircles,distance,"295.05",m,heart_rate,"91",bpm,altitude,"20.799999999999955",m,speed,"5.682",m/s,power,"163",watts,cadence,"76",rpm,enhanced_altitude,"20.799999999999955",m,enhanced_speed,"5.682",m/s,
Data,3,record,timestamp,"1096764993",s,position_lat,"614529152",semicircles,position_long,"-1002809",semicircles,distance,"300.73",m,heart_rate,"91",bpm,altitude,"21.0",m,speed,"5.679",m/s,power,"162",watts,cadence,"77",rpm,enhanced_altitude,"21.0",m,enhanced_speed,"5.679",m/s,
Data,3,record,timestamp,"1096764994",s,position_lat,"614529216",semicircles,position_long,"-1003766",semicircles,distance,"306.4",m,heart_rate,"92",bpm,altitude,"21.0",m,speed,"5.651",m/s,power,"149",watts,cadence,"77",rpm,enhanced_altitude,"21.0",m,enhanced_speed,"5.651",m/s,
Data,3,record,timestamp,"1096764995",s,position_lat,"614529344",semicircles,position_long,"-1004715",semicircles,distance,"312.02",m,heart_rate,"92",bpm,altitude,"21.200000000000045",m,speed,"5.586",m/s,power,"132",watts,cadence,"76",rpm,enhanced_altitude,"21.200000000000045",m,enhanced_speed,"5.586",m/s,
Data,3,record,timestamp,"1096764996",s,position_lat,"614529472",semicircles,position_long,"-1005653",semicircles,distance,"317.57",m,heart_rate,"92",bpm,altitude,"21.399999999999977",m,speed,"5.526",m/s,power,"135",watts,cadence,"76",rpm,enhanced_altitude,"21.399999999999977",m,enhanced_speed,"5.526",m/s,
Data,3,record,timestamp,"1096764997",s,position_lat,"614529536",semicircles,position_long,"-1006583",semicircles,distance,"323.07",m,heart_rate,"93",bpm,altitude,"21.600000000000023",m,speed,"5.466",m/s,power,"132",watts,cadence,"76",rpm,enhanced_altitude,"21.600000000000023",m,enhanced_speed,"5.466",m/s,
Data,3,record,timestamp,"1096764998",s,position_lat,"614529664",semicircles,position_long,"-1007500",semicircles,distance,"328.5",m,heart_rate,"93",bpm,altitude,"21.600000000000023",m,speed,"5.401",m/s,power,"127",watts,cadence,"75",rpm,enhanced_altitude,"21.600000000000023",m,enhanced_speed,"5.401",m/s,
Data,3,record,timestamp,"1096764999",s,position_lat,"614529792",semicircles,position_long,"-1008407",semicircles,distance,"333.87",m,heart_rate,"93",bpm,altitude,"21.799999999999955",m,speed,"5.345",m/s,power,"131",watts,cadence,"75",rpm,enhanced_altitude,"21.799999999999955",m,enhanced_speed,"5.345",m/s,
Data,3,record,timestamp,"1096765000",s,position_lat,"614529920",semicircles,position_long,"-1009305",semicircles,distance,"339.19",m,heart_rate,"93",bpm,altitude,"22.0",m,speed,"5.274",m/s,power,"120",watts,cadence,"74",rpm,enhanced_altitude,"22.0",m,enhanced_speed,"5.274",m/s,
Data,3,record,timestamp,"1096765001",s,position_lat,"614529984",semicircles,position_long,"-1010189",semicircles,distance,"344.43",m,heart_rate,"94",bpm,altitude,"22.200000000000045",m,speed,"5.209",m/s,power,"122",watts,cadence,"74",rpm,enhanced_altitude,"22.200000000000045",m,enhanced_speed,"5.209",m/s,
Data,3,record,timestamp,"1096765002",s,position_lat,"614530112",semicircles,position_long,"-1011062",semicircles,distance,"349.63",m,heart_rate,"94",bpm,altitude,"22.200000000000045",m,speed,"5.194",m/s,power,"145",watts,cadence,"73",rpm,enhanced_altitude,"22.200000000000045",m,enhanced_speed,"5.194",m/s,
Data,3,record,timestamp,"1096765003",s,position_lat,"614530240",semicircles,position_long,"-1011936",semicircles,distance,"354.83",m,heart_rate,"95",bpm,altitude,"22.399999999999977",m,speed,"5.206",m/s,power,"155",watts,cadence,"74",rpm,enhanced_altitude,"22.399999999999977",m,enhanced_speed,"5.206",m/s,
Data,3,record,timestamp,"1096765004",s,position_lat,"614530304",semicircles,position_long,"-1012815",semicircles,distance,"360.05",m,heart_rate,"95",bpm,altitude,"22.600000000000023",m,speed,"5.248",m/s,power,"165",watts,cadence,"75",rpm,enhanced_altitude,"22.600000000000023",m,enhanced_speed,"5.248",m/s,
Data,3,record,timestamp,"1096765005",s,position_lat,"614530432",semicircles,position_long,"-1013700",semicircles,distance,"365.31",m,heart_rate,"95",bpm,altitude,"22.600000000000023",m,speed,"5.276",m/s,power,"159",watts,cadence,"76",rpm,enhanced_altitude,"22.600000000000023",m,enhanced_speed,"5.276",m/s,
Data,3,record,timestamp,"1096765006",s,position_lat,"614530560",semicircles,position_long,"-1014585",semicircles,distance,"370.57",m,heart_rate,"96",bpm,altitude,"22.799999999999955",m,speed,"5.242",m/s,power,"132",watts,cadence,"77",rpm,enhanced_altitude,"22.799999999999955",m,enhanced_speed,"5.242",m/s,
Data,3,record,timestamp,"1096765007",s,position_lat,"614530624",semicircles,position_long,"-1015462",semicircles,distance,"375.79",m,heart_rate,"96",bpm,altitude,"23.0",m,speed,"5.188",m/s,power,"123",watts,cadence,"76",rpm,enhanced_altitude,"23.0",m,enhanced_speed,"5.188",m/s,
Data,3,record,timestamp,"1096765008",s,position_lat,"614530752",semicircles,position_long,"-1016328",semicircles,distance,"380.94",m,heart_rate,"96",bpm,altitude,"23.0",m,speed,"5.114",m/s,power,"114",watts,cadence,"75",rpm,enhanced_altitude,"23.0",m,enhanced_speed,"5.114",m/s,
Data,3,record,timestamp,"1096765009",s,position_lat,"614530880",semicircles,position_long,"-1017184",semicircles,distance,"386.02",m,heart_rate,"97",bpm,altitude,"23.200000000000045",m,speed,"5.053",m/s,power,"118",watts,cadence,"74",rpm,enhanced_altitude,"23.200000000000045",m,enhanced_speed,"5.053",m/s,
Data,3,record,timestamp,"1096765010",s,position_lat,"614530944",semicircles,position_long,"-1018031",semicircles,distance,"391.06",m,heart_rate,"97",bpm,altitude,"23.399999999999977",m,speed,"5.01",m/s,power,"124",watts,cadence,"72",rpm,enhanced_altitude,"23.399999999999977",m,enhanced_speed,"5.01",m/s,
Data,3,record,timestamp,"1096765011",s,position_lat,"614531072",semicircles,position_long,"-1018870",semicircles,distance,"396.05",m,heart_rate,"98",bpm,altitude,"23.399999999999977",m,speed,"4.979",m/s,power,"126",watts,cadence,"73",rpm,enhanced_altitude,"23.399999999999977",m,enhanced_speed,"4.979",m/s,
Data,3,record,timestamp,"1096765012",s,position_lat,"614531136",semicircles,position_long,"-1019705",semicircles,distance,"401.02",m,heart_rate,"98",bpm,altitude,"23.600000000000023",m,speed,"4.958",m/s,power,"130",watts,cadence,"73",rpm,enhanced_altitude,"23.600000000000023",m,enhanced_speed,"4.958",m/s,
Data,3,record,timestamp,"1096765013",s,position_lat,"614531264",semicircles,position_long,"-1020534",semicircles,distance,"405.94",m,heart_rate,"99",bpm,altitude,"23.799999999999955",m,speed,"4.891",m/s,power,"106",watts,cadence,"74",rpm,enhanced_altitude,"23.799999999999955",m,enhanced_speed,"4.891",m/s,
Data,3,record,timestamp,"1096765014",s,position_lat,"614531328",semicircles,position_long,"-1021354",semicircles,distance,"410.82",m,heart_rate,"99",bpm,altitude,"23.799999999999955",m,speed,"4.867",m/s,power,"129",watts,cadence,"74",rpm,enhanced_altitude,"23.799999999999955",m,enhanced_speed,"4.867",m/s,
Data,3,record,timestamp,"1096765015",s,position_lat,"614531456",semicircles,position_long,"-1022175",semicircles,distance,"415.69",m,heart_rate,"99",bpm,altitude,"24.0",m,speed,"4.875",m/s,power,"136",watts,cadence,"79",rpm,enhanced_altitude,"24.0",m,enhanced_speed,"4.875",m/s,
Data,3,record,timestamp,"1096765016",s,position_lat,"614531520",semicircles,position_long,"-1022999",semicircles,distance,"420.59",m,heart_rate,"99",bpm,altitude,"24.200000000000045",m,speed,"4.94",m/s,power,"163",watts,cadence,"80",rpm,enhanced_altitude,"24.200000000000045",m,enhanced_speed,"4.94",m/s,
Data,3,record,timestamp,"1096765017",s,position_lat,"614531648",semicircles,position_long,"-1023841",semicircles,distance,"425.6",m,heart_rate,"99",bpm,altitude,"24.200000000000045",m,speed,"5.085",m/s,power,"200",watts,cadence,"81",rpm,enhanced_altitude,"24.200000000000045",m,enhanced_speed,"5.085",m/s,
Data,3,record,timestamp,"1096765018",s,position_lat,"614531776",semicircles,position_long,"-1024709",semicircles,distance,"430.76",m,heart_rate,"99",bpm,altitude,"24.399999999999977",m,speed,"5.212",m/s,power,"185",watts,cadence,"66",rpm,enhanced_altitude,"24.399999999999977",m,enhanced_speed,"5.212",m/s,
Data,3,record,timestamp,"1096765019",s,position_lat,"614531840",semicircles,position_long,"-1025594",semicircles,distance,"436.02",m,heart_rate,"99",bpm,altitude,"24.600000000000023",m,speed,"5.314",m/s,power,"184",watts,cadence,"66",rpm,enhanced_altitude,"24.600000000000023",m,enhanced_speed,"5.314",m/s,
Data,3,record,timestamp,"1096765020",s,position_lat,"614531968",semicircles,position_long,"-1026495",semicircles,distance,"441.38",m,heart_rate,"99",bpm,altitude,"24.600000000000023",m,speed,"5.397",m/s,power,"178",watts,cadence,"67",rpm,enhanced_altitude,"24.600000000000023",m,enhanced_speed,"5.397",m/s,
Data,3,record,timestamp,"1096765021",s,position_lat,"614532096",semicircles,position_long,"-1027408",semicircles,distance,"446.81",m,heart_rate,"99",bpm,altitude,"24.799999999999955",m,speed,"5.467",m/s,power,"176",watts,cadence,"68",rpm,enhanced_altitude,"24.799999999999955",m,enhanced_speed,"5.467",m/s,
Data,3,record,timestamp,"1096765022",s,position_lat,"614532224",semicircles,position_long,"-1028338",semicircles,distance,"452.34",m,heart_rate,"99",bpm,altitude,"25.0",m,speed,"5.603",m/s,power,"210",watts,cadence,"69",rpm,enhanced_altitude,"25.0",m,enhanced_speed,"5.603",m/s,
Data,3,record,timestamp,"1096765023",s,position_lat,"614532352",semicircles,position_long,"-1029288",semicircles,distance,"457.99",m,heart_rate,"99",bpm,altitude,"25.0",m,speed,"5.682",m/s,power,"177",watts,cadence,"73",rpm,enhanced_altitude,"25.0",m,enhanced_speed,"5.682",m/s,
Data,3,record,timestamp,"1096765024",s,position_lat,"614532480",semicircles,position_long,"-1030234",semicircles,distance,"463.62",m,heart_rate,"99",bpm,altitude,"25.200000000000045",m,speed,"5.552",m/s,power,"83",watts,cadence,"74",rpm,enhanced_altitude,"25.200000000000045",m,enhanced_speed,"5.552",m/s,
Data,3,record,timestamp,"1096765025",s,position_lat,"614532608",semicircles,position_long,"-1031154",semicircles,distance,"469.09",m,heart_rate,"99",bpm,altitude,"25.399999999999977",m,speed,"5.375",m/s,power,"61",watts,cadence,"72",rpm,enhanced_altitude,"25.399999999999977",m,enhanced_speed,"5.375",m/s,
Data,3,record,timestamp,"1096765026",s,position_lat,"614532736",semicircles,position_long,"-1032052",semicircles,distance,"474.43",m,heart_rate,"99",bpm,altitude,"25.399999999999977",m,speed,"5.319",m/s,power,"122",watts,cadence,"79",rpm,enhanced_altitude,"25.399999999999977",m,enhanced_speed,"5.319",m/s,
Data,3,record,timestamp,"1096765027",s,position_lat,"614532800",semicircles,position_long,"-1032938",semicircles,distance,"479.7",m,heart_rate,"99",bpm,altitude,"25.600000000000023",m,speed,"5.223",m/s,power,"92",watts,cadence,"85",rpm,enhanced_altitude,"25.600000000000023",m,enhanced_speed,"5.223",m/s,
Data,3,record,timestamp,"1096765028",s,position_lat,"614532928",semicircles,position_long,"-1033809",semicircles,distance,"484.9",m,heart_rate,"99",bpm,altitude,"25.600000000000023",m,speed,"5.166",m/s,power,"111",watts,cadence,"84",rpm,enhanced_altitude,"25.600000000000023",m,enhanced_speed,"5.166",m/s,
Data,3,record,timestamp,"1096765029",s,position_lat,"614533120",semicircles,position_long,"-1034665",semicircles,distance,"490.03",m,heart_rate,"99",bpm,altitude,"25.799999999999955",m,speed,"5.088",m/s,power,"92",watts,cadence,"83",rpm,enhanced_altitude,"25.799999999999955",m,enhanced_speed,"5.088",m/s,
Data,3,record,timestamp,"1096765030",s,position_lat,"614533248",semicircles,position_long,"-1035508",semicircles,distance,"495.09",m,heart_rate,"99",bpm,altitude,"26.0",m,speed,"5.028",m/s,power,"92",watts,cadence,"81",rpm,enhanced_altitude,"26.0",m,enhanced_speed,"5.028",m/s,
Data,3,record,timestamp,"1096765031",s,position_lat,"614533376",semicircles,position_long,"-1036339",semicircles,distance,"500.1",m,heart_rate,"100",bpm,altitude,"26.0",m,speed,"5.017",m/s,power,"94",watts,cadence,"80",rpm,enhanced_altitude,"26.0",m,enhanced_speed,"5.017",m/s,
